distance_ground_m,rsrp_dbm,elevation_geom_deg,antenna_corr_db,rsrp_corrected_dbm
551.8494362249869,-107.9,-11.870877972057867,0.0,-107.9
560.51762433314,-108.4,-11.692391825811624,0.0,-108.4
569.1422425351562,-107.0,-11.519980262635128,0.0,-107.0
577.6470319389174,-107.5,-11.354807493616326,0.0,-107.5
590.2718616824474,-108.55000000000001,-11.118566016039502,0.0,-108.55000000000001
602.3463180607068,-110.5,-10.90058535100236,0.0,-110.5
610.0831482815723,-108.6,-10.765599160194991,0.0,-108.6
617.9296589268454,-106.7,-10.632032789565768,0.0,-106.7
629.8574569325235,-106.4,-10.43554931637756,0.0,-106.4
641.7517447243554,-107.6,-10.24588305458622,0.0,-107.6
649.5067527656269,-108.9,-10.1260951391317,0.0,-108.9
661.083114595925,-113.85,-9.952661094053976,0.0,-113.85
672.6928966413075,-111.1,-9.783934446608937,0.0,-111.1
680.447463129244,-109.2,-9.674553107681612,0.0,-109.2
688.1526535177412,-107.5,-9.56824169617968,0.0,-107.5
699.7292554351583,-106.3,-9.413075966546383,0.0,-106.3
711.4115199477932,-106.4,-9.260926922041405,0.0,-106.4
719.1080208497046,-110.4,-9.163499095560557,0.0,-110.4
730.7656105803792,-111.85,-9.019981608879029,0.0,-111.85
742.4054557973218,-113.5,-8.88059492845367,0.0,-113.5
750.1531940077582,-112.0,-8.79031408376747,0.0,-112.0
758.0170025744153,-108.4,-8.70052430868369,0.0,-108.4
769.3706797013074,-108.4,-8.57424472862289,0.0,-108.4
780.8786646612316,-107.4,-8.4495316932257,0.0,-107.4
788.6647602547582,-107.1,-8.367300392921404,0.0,-107.1
800.463531847611,-107.80000000000001,-8.245867090784781,0.0,-107.80000000000001
812.2487730605608,-109.1,-8.127645566545645,0.0,-109.1
820.3566556570049,-110.8,-8.048374769623821,0.0,-110.8
828.4789603846089,-111.5,-7.970488467613054,0.0,-111.5
840.4548038746775,-114.0,-7.858512648973896,0.0,-114.0
852.5363044478645,-115.4,-7.74834386393705,0.0,-115.4
860.5239234894402,-114.3,-7.67728334516947,0.0,-114.3
868.305826262813,-113.1,-7.609288012782942,0.0,-113.1
880.0282622802192,-109.65,-7.509234592658815,0.0,-109.65
891.6149103148958,-108.7,-7.412603296367258,0.0,-108.7
899.2485529278586,-109.3,-7.350369383968989,0.0,-109.3
911.0465981797975,-107.85,-7.256331701452309,0.0,-107.85
922.5075761536762,-108.8,-7.166997419464181,0.0,-108.8
