timestamp,rsrp_dbm,snr,plmn,latitude,longitude,distance_m
2026-04-20T14:38:13.103272,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:14.223468,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:15.343216,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:16.463016,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:17.552358,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:18.672154,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:19.792526,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:20.912388,-66.0,"38,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:22.032378,-66.0,"38,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:23.152209,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:24.272463,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:25.392093,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:26.512381,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:27.632576,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:28.752561,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:29.872622,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:30.992506,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:32.080205,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:33.198841,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:34.288559,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:35.408528,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:36.528396,-66.0,"38,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:37.648337,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:38.768474,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:39.856240,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:40.976594,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:42.064245,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:43.152340,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:44.272569,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:45.392672,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:46.512646,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:47.632374,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:48.718597,-67.0,"36,0 dB",99970,57.01396350,9.98797990,26.04
2026-04-20T14:38:49.840629,-65.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:50.927561,-64.0,"37,5 dB",99970,57.01398250,9.98797990,26.73
2026-04-20T14:38:52.048885,-69.0,"33,5 dB",99970,57.01400180,9.98798670,27.94
2026-04-20T14:38:53.136263,-69.0,"33,0 dB",99970,57.01399734,9.98798755,27.79
